WT	Climate	NEE	WT	Climate	CH4	WT	Climate	N2O
-10	1	-2.31	-1.1	2	0.239872339			
-10	1	-2.61	-1.1	2	0.11745			
-10	1	-5.454545455	-1.1	2	0.13667762			
-10	1	0.053861482	-1.166666667	2	0.1023			
-10	1	0.011672164	-1.2	2	0.04761665			
-10	1	-0.170862709	-1.3	2	0.524757238			
-10	1	-0.276238117	-1.59	3	0.018435103			
-10	1	-0.416742739	-1.6	2	0.34121729			
-10	1	-0.472929905	-1.75	2	0.065			
-10.10169492	2	1.969090909	-1.8	2	0.49275			
-10.3	2	0.686961727	-1.9	2	0.149508587			
-10.3	2	0.414734909	-1.9	2	0.07134515			
-10.57	2	0.2835748	-2	2	0.5721375			
-10.6	2	-1.131779341	-2	2	0.172640301			
-10.61272727	2	0.092	-2	2	0.1704			
-10.63333333	2	4.001888388	-2	2	0.048486695			
-10.63333333	2	1.957289867	-2	2	0.043400887			
-10.63333333	2	1.927997624	-2	2	0.04005			
-10.63333333	2	1.394878812	-2	2	0.178742049			
-10.63973064	1	-0.979639509	-2.032520325	2	0.05840708			
-10.7	2	0.863062868	-2.2	2	0.356775			
-10.74074074	1	-0.835145455	-2.2	2	0.04370351			
-11	2	0.97	-2.238251913	2	0.060068391			
-11	2	-0.046363636	-2.3	2	0.02246444			
-11.05263158	2	-1.699	-2.5	2	0.168675			
-11.36454545	2	-0.786	-2.5	2	0.03445018			
-11.4	2	-23.29639673	-2.5	3	0.3082425			
-11.6	2	1.106380472	-2.5	3	0.1379025			
-11.6	2	0.926935729	-2.6	2	0.12225			
-11.60137581	2	-2.83	-2.6	2	0.095606809			
-11.76470588	3	2.09	-2.6	2	0.053660714			
-11.76470588	3	0.72	-2.6	2	0.247727			
-11.76470588	3	-0.27	-2.7	2	0.022068965			
-11.76470588	3	4.68	-2.7	2	0.009077769			
-11.76470588	3	4.22	-2.802159453	1	0.038			
-11.76470588	3	3.18	-2.9	2	-0.04102248			
-12	2	0.792102217	-3	2	0.36			
-12	2	0.532521615	-3	2	0.041122136			
-12	2	0.363791879	-3	2	0.03			
-12	2	-0.266979829	-3.016	2	0.15			
-12	2	-0.917490638	-3.032786885	2	0.15216894			
-12	2	-2.048698099	-3.2	2	0.03322136			
-12	2	-0.247671894	-3.202846975	2	0.17355			
-12.1	2	-0.9002639	-3.3	2	0.32325			
-12.2	2	-0.160909091	-3.373493976	2	0.01423856			
-12.33075238	3	-0.03	-3.5	2	0.04900125			
-12.437	2	-0.76	-3.5	2	0.012598071			
-12.5	2	-0.15	-3.5	1	0.010442			
-12.5	2	-0.935	-3.5	2	0.010442			
-12.5	2	-1.131779341	-3.5	2	0.006129858			
-12.5	2	-1.36	-3.6	2	0.040446429			
-12.5	2	-1.45	-3.8	1	-0.136170836			
-12.63157895	2	-1.618	-4	2	0.210188513			
-12.8	2	1.011052796	-4	2	0.185			
-12.82	2	0.793738973	-4	2	0.135062825			
-12.82	2	0.793738973	-4	2	0.134504382			
-13.2	2	-21.08124351	-4	2	0.113516796			
-13.42372881	2	1.764545455	-4	2	0.11			
-13.6	2	-0.935693504	-4	2	0.1			
-13.63333333	2	4.751769794	-4	2	0.03			
-13.63333333	2	2.168194012	-4	2	0.0220426			
-13.63333333	2	0.246622909	-4	2	0.01402764			
-13.63333333	2	-0.011148824	-4	2	0.010014887			
-13.66101695	2	2.650909091	-4	2	0.300776992			
-13.67875648	1	-0.378719545	-4.090433217	1	0.036			
-13.7	2	0.944492118	-4.1	2	0.094528773			
-13.7	2	-0.128181818	-4.1	2	0.077			
-13.7	2	0.268885013	-4.1	2	0.066225			
-14	2	-1.34	-4.1	2	0.025912982			
-14	2	0.719985547	-4.161849711	3	1.954575			
-14.30555556	1	-1.83	-4.161849711	3	1.954575			
-14.4	2	-0.676363636	-4.161849711	3	1.954575			
-14.45	2	-1.34	-4.181185028	2	0.03290498			
-14.49315983	2	-0.578354323	-4.2	2	0.255156071			
-14.5	2	0.528804844	-4.288617886	2	0.111504425			
-14.6	2	1.596308582	-4.4727	2	0.16			
-14.6	2	1.103245635	-4.49	3	0.00685157			
-14.7	2	-0.215454545	-4.58	2	0.1135296			
-14.72	2	4.51	-4.61333238	2	0.115131232			
-14.79	2	0.709886091	-4.660194175	2	0.009840878			
-15	2	-0.533130216	-4.703755308	2	0.0795			
-15.03166667	3	-0.86484	-4.715447154	2	0.053097345			
-15.16	2	-0.45	-4.771666073	1	0.045			
-15.19880571	2	-1.67	-4.838709677	3	0.01608			
-15.5	2	0.90042576	-4.854368932	2	0.026261			
-15.65	2	-3.455467969	-4.9	2	-0.014218063			
